"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",112.179138163081,6730.74828978487,0.78162818750411,112.179138163081,0.78162818750411,6730.74828978487,0.78162818750411,112.179138163081,0.78162818750411,TRUE,0.54952157519,0.0509293806180068,-3.59366113314002,-10.8150307265928,0.225982531036251,0.595068095213245,0.929866807953428,0.595068095213245,0.00518366131268397,0,444.512007266795,0.1148012717,3869.02962553477,1e-04,"1_186_1",1,186,1,186,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"2","trend",-0.0670497650633315,342.128278346022,0.0397306650886584,5.7021379724337,0.0397306650886584,342.128278346022,0.0397306650886584,5.7021379724337,0.0397306650886584,TRUE,0.54952157519,0.0509293806180068,-3.59366113314002,-10.8150307265928,0.225982531036251,0.595068095213245,0.929866807953428,0.595068095213245,0.00518366131268397,0,444.512007266795,0.1148012717,3869.02962553477,1e-04,"1_186_1",1,186,1,186,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"3","season",0.0251821545240537,369.172037981709,0.0428712022053739,6.15286729969515,0.0428712022053739,369.172037981709,0.0428712022053739,6.15286729969515,0.0428712022053739,TRUE,0.54952157519,0.0509293806180068,-3.59366113314002,-10.8150307265928,0.225982531036251,0.595068095213245,0.929866807953428,0.595068095213245,0.00518366131268397,0,444.512007266795,0.1148012717,3869.02962553477,1e-04,"1_186_1",1,186,1,186,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"4","holiday",0,0,0,0,0,0,0,0,0,TRUE,0.54952157519,0.0509293806180068,-3.59366113314002,-10.8150307265928,0.225982531036251,0.595068095213245,0.929866807953428,0.595068095213245,0.00518366131268397,0,444.512007266795,0.1148012717,3869.02962553477,1e-04,"1_186_1",1,186,1,186,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"5","facebook_s",25.3510680476477,741.928053557513,0.0861586044809807,12.3654675592919,0.0861586044809807,741.928053557513,0.0861586044809807,12.3654675592919,0.0861586044809807,TRUE,0.54952157519,0.0509293806180068,-3.59366113314002,-10.8150307265928,0.225982531036251,0.595068095213245,0.929866807953428,0.595068095213245,0.00518366131268397,0,444.512007266795,0.1148012717,3869.02962553477,1e-04,"1_186_1",1,186,1,186,8,104450,1740.83333333333,1910.69049339563,169.857160062298,12.4057927548481,0.630927212322561,0.634592614388134,0.00712635294677725,0.00710318864104848,140.781844680447,4,FALSE,112.151802433816,49.3278048778117,0,464.242538572748,0.162080601291135
"6","googlesearch_s",15.1110851073079,427.212646689795,0.0496113407208771,7.12021077816324,0.0496113407208771,427.212646689795,0.0496113407208771,7.12021077816324,0.0496113407208771,TRUE,0.54952157519,0.0509293806180068,-3.59366113314002,-10.8150307265928,0.225982531036251,0.595068095213245,0.929866807953428,0.595068095213245,0.00518366131268397,0,444.512007266795,0.1148012717,3869.02962553477,1e-04,"1_186_1",1,186,1,186,8,61100,1018.33333333333,1134.99684315342,116.663509820087,7.17434935965632,0.369072787677439,0.365407385611866,0.00704518758722389,0.00699202367741071,143.02011064847,4,FALSE,111.452986477725,48.841230471591,0,460.077443222627,0.0368578782526124
"7","(Intercept)",69.8480148806863,4190.88089284118,0.477651792212671,69.8480148806863,0.477651792212671,4190.88089284118,0.477651792212671,69.8480148806863,0.477651792212671,TRUE,0.55147337888,0.280442573691106,-2.26142464505084,-7.38874162266073,0.196769750002876,0.501407542866864,0.783522959335797,0.501407542866864,0.00798291369977172,0,177.238325872755,0.04571407483,3869.02962553477,1e-04,"1_187_1",1,187,1,187,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"8","trend",-0.138759986018983,708.037009155089,0.0806978663969024,11.8006168192515,0.0806978663969023,708.037009155089,0.0806978663969024,11.8006168192515,0.0806978663969023,TRUE,0.55147337888,0.280442573691106,-2.26142464505084,-7.38874162266073,0.196769750002876,0.501407542866864,0.783522959335797,0.501407542866864,0.00798291369977172,0,177.238325872755,0.04571407483,3869.02962553477,1e-04,"1_187_1",1,187,1,187,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"9","season",0.0521561736324129,764.612928366155,0.0871460547129689,12.7435488061026,0.0871460547129689,764.612928366155,0.0871460547129689,12.7435488061026,0.0871460547129689,TRUE,0.55147337888,0.280442573691106,-2.26142464505084,-7.38874162266073,0.196769750002876,0.501407542866864,0.783522959335797,0.501407542866864,0.00798291369977172,0,177.238325872755,0.04571407483,3869.02962553477,1e-04,"1_187_1",1,187,1,187,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"10","holiday",0,0,0,0,0,0,0,0,0,TRUE,0.55147337888,0.280442573691106,-2.26142464505084,-7.38874162266073,0.196769750002876,0.501407542866864,0.783522959335797,0.501407542866864,0.00798291369977172,0,177.238325872755,0.04571407483,3869.02962553477,1e-04,"1_187_1",1,187,1,187,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"11","facebook_s",67.573998823901,1944.87471390406,0.221665305332882,32.4145785650676,0.221665305332882,1944.87471390406,0.221665305332882,32.4145785650676,0.221665305332882,TRUE,0.55147337888,0.280442573691106,-2.26142464505084,-7.38874162266073,0.196769750002876,0.501407542866864,0.783522959335797,0.501407542866864,0.00798291369977172,0,177.238325872755,0.04571407483,3869.02962553477,1e-04,"1_187_1",1,187,1,187,9,104450,1740.83333333333,1990.52444177651,249.69110844318,32.5004560084875,0.630927212322561,0.625282439911826,0.0186694816707444,0.0186201504442705,53.7052588803171,4,FALSE,112.151802433816,49.3278048778117,0,464.242538572748,0.304145440147693
"12","googlesearch_s",37.0875005768878,1165.51922931673,0.132838981344576,19.4253204886121,0.132838981344576,1165.51922931673,0.132838981344576,19.4253204886121,0.132838981344576,TRUE,0.55147337888,0.280442573691106,-2.26142464505084,-7.38874162266073,0.196769750002876,0.501407542866864,0.783522959335797,0.501407542866864,0.00798291369977172,0,177.238325872755,0.04571407483,3869.02962553477,1e-04,"1_187_1",1,187,1,187,9,61100,1018.33333333333,1075.67120212308,57.3378687897418,19.5632800905291,0.369072787677439,0.374717560088174,0.0192110770119762,0.01907560113448,52.4229875090256,4,FALSE,111.452986477725,48.841230471591,0,460.077443222627,0.025010473057394
"13","(Intercept)",112.179138163081,6730.74828978487,0.78162818750411,112.179138163081,0.78162818750411,6730.74828978487,0.78162818750411,112.179138163081,0.78162818750411,TRUE,0.55402700372,0.0509293806180068,-3.59366113314002,-10.8150307265928,0.225982531036251,0.595068095213245,0.929866807953428,0.595068095213245,0.00518366131268397,0,444.512007266795,0.1148012717,3869.02962553477,1e-04,"1_216_1",1,216,1,216,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","trend",-0.0670497650633315,342.128278346022,0.0397306650886584,5.7021379724337,0.0397306650886584,342.128278346022,0.0397306650886584,5.7021379724337,0.0397306650886584,TRUE,0.55402700372,0.0509293806180068,-3.59366113314002,-10.8150307265928,0.225982531036251,0.595068095213245,0.929866807953428,0.595068095213245,0.00518366131268397,0,444.512007266795,0.1148012717,3869.02962553477,1e-04,"1_216_1",1,216,1,216,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","season",0.0251821545240537,369.172037981709,0.0428712022053739,6.15286729969515,0.0428712022053739,369.172037981709,0.0428712022053739,6.15286729969515,0.0428712022053739,TRUE,0.55402700372,0.0509293806180068,-3.59366113314002,-10.8150307265928,0.225982531036251,0.595068095213245,0.929866807953428,0.595068095213245,0.00518366131268397,0,444.512007266795,0.1148012717,3869.02962553477,1e-04,"1_216_1",1,216,1,216,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","holiday",0,0,0,0,0,0,0,0,0,TRUE,0.55402700372,0.0509293806180068,-3.59366113314002,-10.8150307265928,0.225982531036251,0.595068095213245,0.929866807953428,0.595068095213245,0.00518366131268397,0,444.512007266795,0.1148012717,3869.02962553477,1e-04,"1_216_1",1,216,1,216,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","facebook_s",25.3510680476477,741.928053557513,0.0861586044809807,12.3654675592919,0.0861586044809807,741.928053557513,0.0861586044809807,12.3654675592919,0.0861586044809807,TRUE,0.55402700372,0.0509293806180068,-3.59366113314002,-10.8150307265928,0.225982531036251,0.595068095213245,0.929866807953428,0.595068095213245,0.00518366131268397,0,444.512007266795,0.1148012717,3869.02962553477,1e-04,"1_216_1",1,216,1,216,8,104450,1740.83333333333,1910.69049339563,169.857160062298,12.4057927548481,0.630927212322561,0.634592614388134,0.00712635294677725,0.00710318864104848,140.781844680447,NA,NA,NA,NA,NA,NA,0.162080601291135
"18","googlesearch_s",15.1110851073079,427.212646689795,0.0496113407208771,7.12021077816324,0.0496113407208771,427.212646689795,0.0496113407208771,7.12021077816324,0.0496113407208771,TRUE,0.55402700372,0.0509293806180068,-3.59366113314002,-10.8150307265928,0.225982531036251,0.595068095213245,0.929866807953428,0.595068095213245,0.00518366131268397,0,444.512007266795,0.1148012717,3869.02962553477,1e-04,"1_216_1",1,216,1,216,8,61100,1018.33333333333,1134.99684315342,116.663509820087,7.17434935965632,0.369072787677439,0.365407385611866,0.00704518758722389,0.00699202367741071,143.02011064847,NA,NA,NA,NA,NA,NA,0.0368578782526124
"19","(Intercept)",69.1997676853127,4151.98606111876,0.476660630220591,69.1997676853127,0.476660630220591,4151.98606111876,0.476660630220591,69.1997676853127,0.476660630220591,TRUE,0.54068672294,0.275361593481701,-2.88834338473582,-8.61179973787101,0.199557417994933,0.553506538042292,0.808848736566607,0.553506538042292,0.0027443119844929,0,161.164442183405,0.04155915931,3869.02962553477,1e-04,"1_217_1",1,217,1,217,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
