"","ds","facebook_s","googlesearch_s","type","solID","cluster","top_sol"
"1",2024-01-01,1500,800,"rawMedia","1_619_1",1,FALSE
"2",2024-01-02,1450,850,"rawMedia","1_619_1",1,FALSE
"3",2024-01-03,1600,750,"rawMedia","1_619_1",1,FALSE
"4",2024-01-04,1700,900,"rawMedia","1_619_1",1,FALSE
"5",2024-01-05,1800,850,"rawMedia","1_619_1",1,FALSE
"6",2024-01-06,1400,800,"rawMedia","1_619_1",1,FALSE
"7",2024-01-07,1300,750,"rawMedia","1_619_1",1,FALSE
"8",2024-01-08,1600,900,"rawMedia","1_619_1",1,FALSE
"9",2024-01-09,1550,850,"rawMedia","1_619_1",1,FALSE
"10",2024-01-10,1650,900,"rawMedia","1_619_1",1,FALSE
"11",2024-01-11,1750,950,"rawMedia","1_619_1",1,FALSE
"12",2024-01-12,1850,900,"rawMedia","1_619_1",1,FALSE
"13",2024-01-13,1450,850,"rawMedia","1_619_1",1,FALSE
"14",2024-01-14,1350,800,"rawMedia","1_619_1",1,FALSE
"15",2024-01-15,1650,950,"rawMedia","1_619_1",1,FALSE
"16",2024-01-16,1600,900,"rawMedia","1_619_1",1,FALSE
"17",2024-01-17,1700,950,"rawMedia","1_619_1",1,FALSE
"18",2024-01-18,1800,1000,"rawMedia","1_619_1",1,FALSE
"19",2024-01-19,1900,950,"rawMedia","1_619_1",1,FALSE
"20",2024-01-20,1500,900,"rawMedia","1_619_1",1,FALSE
"21",2024-01-21,1400,850,"rawMedia","1_619_1",1,FALSE
"22",2024-01-22,1700,1000,"rawMedia","1_619_1",1,FALSE
"23",2024-01-23,1650,950,"rawMedia","1_619_1",1,FALSE
"24",2024-01-24,1750,1000,"rawMedia","1_619_1",1,FALSE
"25",2024-01-25,1850,1050,"rawMedia","1_619_1",1,FALSE
"26",2024-01-26,1950,1000,"rawMedia","1_619_1",1,FALSE
"27",2024-01-27,1550,950,"rawMedia","1_619_1",1,FALSE
"28",2024-01-28,1450,900,"rawMedia","1_619_1",1,FALSE
"29",2024-01-29,1750,1050,"rawMedia","1_619_1",1,FALSE
"30",2024-01-30,1700,1000,"rawMedia","1_619_1",1,FALSE
